"filename", "language", "Markdown", "Go", "JSON", "comment", "blank", "total"
"f:\OpenBridge\Monorepo\API.md", "Markdown", -205, 0, 0, 0, -133, -338
"f:\OpenBridge\Monorepo\backend\internal\usecase\system_usecase.go", "Go", 0, 5, 0, 0, 3, 8
"f:\OpenBridge\Monorepo\docs\API.md", "Markdown", 205, 0, 0, 0, 133, 338
"f:\OpenBridge\Monorepo\docs\homework2.md", "Markdown", 39, 0, 0, 0, 19, 58
"f:\OpenBridge\Monorepo\docs\task\week1.md", "Markdown", 3, 0, 0, 0, 1, 4
"f:\OpenBridge\Monorepo\docs\task\week10.md", "Markdown", 1009, 0, 0, 0, 366, 1375
"f:\OpenBridge\Monorepo\docs\task\week11.md", "Markdown", 4, 0, 0, 0, 6, 10
"f:\OpenBridge\Monorepo\docs\task\week2.md", "Markdown", 246, 0, 0, 0, 95, 341
"f:\OpenBridge\Monorepo\docs\task\week3.md", "Markdown", 258, 0, 0, 0, 86, 344
"f:\OpenBridge\Monorepo\docs\task\week4.md", "Markdown", 180, 0, 0, 0, 99, 279
"f:\OpenBridge\Monorepo\docs\task\week5.md", "Markdown", 145, 0, 0, 0, 66, 211
"f:\OpenBridge\Monorepo\docs\task\week6&7.md", "Markdown", 128, 0, 0, 0, 49, 177
"f:\OpenBridge\Monorepo\docs\task\week8&9.md", "Markdown", 151, 0, 0, 0, 76, 227
"f:\OpenBridge\Monorepo\docs\团队开发.md", "Markdown", 232, 0, 0, 0, 110, 342
"f:\OpenBridge\Monorepo\docs\文档框架.md", "Markdown", 24, 0, 0, 0, 13, 37
"f:\OpenBridge\Monorepo\docs\项目架构文档.md", "Markdown", 802, 0, 0, 0, 161, 963
"f:\OpenBridge\Monorepo\frontend\src\i18n\locales\en.json", "JSON", 0, 0, 19, 0, 0, 19
"f:\OpenBridge\Monorepo\frontend\src\i18n\locales\zh-CN.json", "JSON", 0, 0, 19, 0, 0, 19
"f:\OpenBridge\Monorepo\homework2.md", "Markdown", -39, 0, 0, 0, -19, -58
"f:\OpenBridge\Monorepo\week1.md", "Markdown", -3, 0, 0, 0, -1, -4
"f:\OpenBridge\Monorepo\week10.md", "Markdown", -1009, 0, 0, 0, -366, -1375
"f:\OpenBridge\Monorepo\week11.md", "Markdown", -4, 0, 0, 0, -6, -10
"f:\OpenBridge\Monorepo\week2.md", "Markdown", -246, 0, 0, 0, -95, -341
"f:\OpenBridge\Monorepo\week3.md", "Markdown", -258, 0, 0, 0, -86, -344
"f:\OpenBridge\Monorepo\week4.md", "Markdown", -180, 0, 0, 0, -99, -279
"f:\OpenBridge\Monorepo\week5.md", "Markdown", -145, 0, 0, 0, -66, -211
"f:\OpenBridge\Monorepo\week6&7.md", "Markdown", -128, 0, 0, 0, -49, -177
"f:\OpenBridge\Monorepo\week8&9.md", "Markdown", -151, 0, 0, 0, -76, -227
"f:\OpenBridge\Monorepo\团队开发.md", "Markdown", -232, 0, 0, 0, -110, -342
"f:\OpenBridge\Monorepo\文档框架.md", "Markdown", -24, 0, 0, 0, -13, -37
"f:\OpenBridge\Monorepo\项目架构文档.md", "Markdown", -802, 0, 0, 0, -161, -963
"Total", "-", 0, 5, 38, 0, 3, 46
