"filename", "language", "JSON", "Markdown", "PowerShell", "TypeScript", "JSON with Comments", "Go", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"f:\OpenBridge\Monorepo\README.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26
"f:\OpenBridge\Monorepo\backend\go.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 4, 48
"f:\OpenBridge\Monorepo\backend\internal\config\config.go", "Go", 0, 0, 0, 0, 0, 68, 0, 0, 0, 3, 11, 82
"f:\OpenBridge\Monorepo\backend\internal\config\env.go", "Go", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 15, 77
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\downtask.go", "Go", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 3, 28
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\mount_point.go", "Go", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\provider_account.go", "Go", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\quota.go", "Go", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\quota_mode.go", "Go", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\quota_snapshot.go", "Go", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\rclone_profile.go", "Go", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"f:\OpenBridge\Monorepo\backend\internal\domain\entity\token.go", "Go", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"f:\OpenBridge\Monorepo\backend\internal\domain\interfaces\provider_interface.go", "Go", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"f:\OpenBridge\Monorepo\backend\internal\domain\providers\baidu_provider.go", "Go", 0, 0, 0, 0, 0, 159, 0, 0, 0, 27, 33, 219
"f:\OpenBridge\Monorepo\backend\internal\domain\providers\local_linux_provider.go", "Go", 0, 0, 0, 0, 0, 73, 0, 0, 0, 22, 20, 115
"f:\OpenBridge\Monorepo\backend\internal\domain\providers\local_windows_provider.go", "Go", 0, 0, 0, 0, 0, 75, 0, 0, 0, 2, 16, 93
"f:\OpenBridge\Monorepo\backend\internal\domain\providers\mock_provider.go", "Go", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"f:\OpenBridge\Monorepo\backend\internal\domain\providers\quark_provider.go", "Go", 0, 0, 0, 0, 0, 109, 0, 0, 0, 2, 22, 133
"f:\OpenBridge\Monorepo\backend\internal\handler\download_handler.go", "Go", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 31, 204
"f:\OpenBridge\Monorepo\backend\internal\handler\mount_handler.go", "Go", 0, 0, 0, 0, 0, 163, 0, 0, 0, 6, 24, 193
"f:\OpenBridge\Monorepo\backend\internal\handler\provider_handler.go", "Go", 0, 0, 0, 0, 0, 98, 0, 0, 0, 10, 23, 131
"f:\OpenBridge\Monorepo\backend\internal\handler\rclone_handler.go", "Go", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 17, 114
"f:\OpenBridge\Monorepo\backend\internal\handler\settings_handler.go", "Go", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 19, 106
"f:\OpenBridge\Monorepo\backend\internal\handler\storage_handler.go", "Go", 0, 0, 0, 0, 0, 62, 0, 0, 0, 16, 19, 97
"f:\OpenBridge\Monorepo\backend\internal\handler\system_handler.go", "Go", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 11, 48
"f:\OpenBridge\Monorepo\backend\internal\handler\user_handler.go", "Go", 0, 0, 0, 0, 0, 62, 0, 0, 0, 6, 17, 85
"f:\OpenBridge\Monorepo\backend\internal\handler\webdav_proxy_handler.go", "Go", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 39, 305
"f:\OpenBridge\Monorepo\backend\internal\middleware\access_log.go", "Go", 0, 0, 0, 0, 0, 30, 0, 0, 0, 11, 10, 51
"f:\OpenBridge\Monorepo\backend\internal\middleware\admin.go", "Go", 0, 0, 0, 0, 0, 108, 0, 0, 0, 11, 18, 137
"f:\OpenBridge\Monorepo\backend\internal\middleware\request_id.go", "Go", 0, 0, 0, 0, 0, 39, 0, 0, 0, 24, 10, 73
"f:\OpenBridge\Monorepo\backend\internal\pkg\logger\logger.go", "Go", 0, 0, 0, 0, 0, 43, 0, 0, 0, 24, 13, 80
"f:\OpenBridge\Monorepo\backend\internal\pkg\myerror\error_code.go", "Go", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 30, 68
"f:\OpenBridge\Monorepo\backend\internal\repository\download_repo.go", "Go", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 8, 32
"f:\OpenBridge\Monorepo\backend\internal\repository\mount_repo.go", "Go", 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 16, 82
